Budget,Certificate,Country,Director,Genre,Gross,IMDb_Rating,IMDb_Votes,Language,Production_Co,Release_Date,Runtime,Star,Title
40000000,                    PG-13,Germany,Steven Spielberg,Drama,165478348,7.6,260431,English, DreamWorks,16 October 2015 (USA),142 min,Tom Hanks,Bridge of Spies (2015) 
160000000,                    PG-13,Germany,Francis Lawrence,Action,653428261,6.6,248142,English, Color Force,20 November 2015 (USA),137 min,Jennifer Lawrence,The Hunger Games: Mockingjay - Part 2 (2015) 
75000000,                    PG-13,USA,Guy Ritchie,Action,109845109,7.3,237839,English, Warner Bros.,14 August 2015 (USA),116 min,Henry Cavill,The Man from U.N.C.L.E. (2015) 
155000000,                    PG-13,USA,Alan Taylor,Action,440603537,6.4,231363,English, Paramount Pictures,1 July 2015 (USA),126 min,Arnold Schwarzenegger,Terminator Genisys (2015) 
35000000,                    PG-13,USA,Ryan Coogler,Drama,173567581,7.6,220900,English, Metro-Goldwyn-Mayer (MGM),25 November 2015 (USA),133 min,Michael B. Jordan,Creed (2015) 
65000000,                    R,USA,Paul Feig,Action,236400000,7,212285,English, Twentieth Century Fox,5 June 2015 (USA),119 min,Melissa McCarthy,Spy (2015) 
49000000,                    R,South Africa,Neill Blomkamp,Action,104399548,6.8,211923,English, Columbia Pictures,6 March 2015 (USA),120 min,Sharlto Copley,Chappie (2015) 
61000000,                    PG-13,USA,Wes Ball,Action,312325103,6.3,198532,English, Gotham Group,18 September 2015 (USA),131 min,Dylan O'Brien,Maze Runner: The Scorch Trials (2015) 
30000000,                    R,Hong Kong,Antoine Fuqua,Drama,94207861,7.4,198000,English, Escape Artists,24 July 2015 (USA),124 min,Jake Gyllenhaal,Southpaw (2015) 
110000000,                    PG-13,USA,Robert Schwentke,Action,297276329,6.2,197525,English, Summit Entertainment,20 March 2015 (USA),119 min,Shailene Woodley,Insurgent (2015) 
74000000,                    PG,USA,Kyle Balda,Animation,1163534901,6.4,191422,English, Illumination Entertainment,10 July 2015 (USA),91 min,Sandra Bullock,Minions (2015) 
110000000,                    PG-13,USA,Brad Peyton,Action,473990832,6.1,190405,English, Village Roadshow Pictures,29 May 2015 (USA),114 min,Dwayne Johnson,San Andreas (2015) 
50100000,                    R,USA,Glenn Ficarra,Comedy,159062963,6.6,190216,English, Kramer & Sigman Films,27 February 2015 (USA),105 min,Will Smith,Focus (2015) 
35000000,                    PG-13,USA,Nancy Meyers,Comedy,194564672,7.1,189486,English, Waverly Films,25 September 2015 (USA),121 min,Robert De Niro,The Intern (2015) 
55000000,                    PG-13,UK,Baltasar Kormákur,Action,202394678,7.1,179608,English, Working Title Films,25 September 2015 (USA),121 min,Jason Clarke,Everest (2015) 
0,                    R,Ireland,Yorgos Lanthimos,Comedy,8978887,7.1,178672,English, Film4,16 October 2015 (Ireland),119 min,Colin Farrell,The Lobster (2015) 
176000000,                    PG-13,USA,Lana Wachowski,Action,183887723,5.3,165135,English, Warner Bros.,6 February 2015 (USA),127 min,Channing Tatum,Jupiter Ascending (2015) 
28000000,                    R,USA,F. Gary Gray,Biography,201634991,7.9,163803,English, Universal Pictures,14 August 2015 (USA),147 min,O'Shea Jackson Jr.,Straight Outta Compton (2015) 
68000000,                    R,USA,Seth MacFarlane,Comedy,215863606,6.3,163504,English, Universal Pictures,26 June 2015 (USA),115 min,Mark Wahlberg,Ted 2 (2015) 
190000000,                    PG,USA,Brad Bird,Action,209154322,6.4,160210,English, Walt Disney Pictures,22 May 2015 (USA),130 min,George Clooney,Tomorrowland (2015) 
53000000,                    R,USA,Scott Cooper,Biography,99775678,6.9,154672,English, Cross Creek Pictures,18 September 2015 (USA),123 min,Johnny Depp,Black Mass (2015) 
3500000,                    R,UK,Robert Eggers,Horror,0,6.8,150294,English, Parts and Labor,19 February 2016 (USA),92 min,Anya Taylor-Joy,The Witch (2015) 
15000000,                    R,UK,Tom Hooper,Biography,0,7.1,145134,English, Working Title Films,22 January 2016 (USA),119 min,Eddie Redmayne,The Danish Girl (2015) 
95000000,                    PG,USA,Kenneth Branagh,Drama,543514353,6.9,140353,English, Allison Shearmur Productions,13 March 2015 (USA),105 min,Lily James,Cinderella (2015) 
120000000,                    PG-13,USA,Josh Trank,Action,167977596,4.3,138728,English, Twentieth Century Fox,7 August 2015 (USA),100 min,Miles Teller,Fantastic Four (2015) 
30000000,                    R,UK,Danny Boyle,Biography,35579007,7.2,137380,English, Universal Pictures,23 October 2015 (USA),122 min,Michael Fassbender,Steve Jobs (2015) 
25000000,                    PG-13,USA,Lee Toland Krieger,Drama,0,7.2,137278,English, Lakeshore Entertainment,24 April 2015 (USA),112 min,Blake Lively,The Age of Adaline (2015) 
30000000,                    R,UK,Brian Helgeland,Biography,42642077,7,137056,English, Cross Creek Pictures,20 November 2015 (USA),132 min,Tom Hardy,Legend (2015) 
